id,code_id,field_id,label_en,label_fr,field_id__search_id,field_id__field_id
1,MPSES,2,Minister/Ministerial adviser/Ministerial staff/Parliamentary Secretary/Exempt Staff,Ministre/Conseiller ministériel/Personnel ministériel/Secrétaire parlementaires/Personnel exonéré,travelq,disclosure_group
2,SLE,2,Senior officer or employee,Cadre supérieur ou employé,travelq,disclosure_group
3,P01,21,April,avril,travelq,month
4,P02,21,May,mai,travelq,month
5,P03,21,June,juin,travelq,month
6,P04,21,July,juillet,travelq,month
7,P05,21,August,août,travelq,month
8,P06,21,September,septembre,travelq,month
9,P07,21,October,octobre,travelq,month
10,P08,21,November,novembre,travelq,month
11,P09,21,December,décembre,travelq,month
12,P10,21,January,janvier,travelq,month
13,P11,21,February,février,travelq,month
14,P12,21,March,mars,travelq,month
15,2canl,22,2875039 Canada Limited,2875039 Canada Limited,travelq,owner_org
16,3can,22,3906949 Canada Inc.,3906949 Canada Inc.,travelq,owner_org
17,3nih,22,3Net Indy Holdings,3Net Indy Holdings,travelq,owner_org
18,3nii,22,3Net Indy Investments Inc.,3Net Indy Investments Inc.,travelq,owner_org
19,7can,22,7986386 Canada Inc.,7986386 Canada Inc.,travelq,owner_org
20,8can,22,8599963 Canada Inc.,8599963 Canada Inc.,travelq,owner_org
21,aac,22,AviAlliance Canada Inc.,AviAlliance Canada Inc.,travelq,owner_org
22,aafc-aac,22,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,travelq,owner_org
23,aandc-aadnc,22,Crown-Indigenous Relations and Northern Affairs Canada,Relations Couronne-Autochtones et Affaires du Nord Canada,travelq,owner_org
24,acoa-apeca,22,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique,travelq,owner_org
25,aecl-eacl,22,Atomic Energy of Canada Limited,"Énergie atomique du Canada, Limitée",travelq,owner_org
26,ahrc-pac,22,Assisted Human Reproduction Canada,Procréation Assistée Canada,travelq,owner_org
27,apa,22,Atlantic Pilotage Authority Canada,Administration de pilotage de l'Atlantique Canada,travelq,owner_org
28,apfc-fapc,22,Asia-Pacific Foundation of Canada,Fondation Asie Pacifique du Canada,travelq,owner_org
29,api,22,Argentia Private Investments Inc.,Argentia Private Investments Inc.,travelq,owner_org
30,atm,22,AviAlliance Terminal Management Inc.,AviAlliance Terminal Management Inc.,travelq,owner_org
31,atssc-scdata,22,Administrative Tribunals Support Service of Canada,Service canadien d'appui aux tribunaux administratifs,travelq,owner_org
32,bbpi,22,Belle Bay Private Investments Inc.,Belle Bay Private Investments Inc.,travelq,owner_org
33,bc,22,Bank of Canada,Banque du Canada,travelq,owner_org
34,bc-cb,22,Government of British Columbia,Gouvernment de la Colombie-Britannique,travelq,owner_org
35,bci,22,BDC Capital Inc.,BDC Capital Inc.,travelq,owner_org
36,bctc-ctcb,22,British Columbia Treaty Commission,Commission des Traités de la Colombie-Britannique,travelq,owner_org
37,bdc,22,Business Development Bank of Canada,Banque de développement du Canada,travelq,owner_org
38,bgpi,22,Blue & Gold Private Investments Inc.,Blue & Gold Private Investments Inc.,travelq,owner_org
39,bwbc-pbwc,22,Blue Water Bridge Canada,Pont Blue Water Canada,travelq,owner_org
40,caf-facdnd,22,Canadian Forces,Forces canadiennes,travelq,owner_org
