id,field_id,search_id,label_en,label_fr,solr_field_type,solr_field_lang,solr_field_export,solr_field_is_coded,solr_extra_fields,solr_field_stored,solr_field_indexed,solr_field_multivalued,solr_field_is_currency,is_search_facet,solr_facet_sort,solr_facet_limit,solr_facet_snippet,solr_facet_display_reversed,solr_facet_display_order,alt_format,is_default_display,default_export_value,is_default_year,is_default_month
1,ref_number,travelq,Reference Number,Numéro de référence,string,bi,,0,,1,1,0,0,0,count,100,,0,0,,1,str|-,0,0
2,disclosure_group,travelq,Disclosure Group,Groupe de divulgation,string,bi,,1,,1,1,0,0,0,count,100,,0,0,,0,str|-,0,0
3,title_en,travelq,Title (English),Titre (anglais),search_text_en,en,title_eng,0,title_eng,1,1,0,0,0,count,100,,0,0,,1,str|-,0,0
4,title_fr,travelq,Title (French),Titre (français),search_text_fr,fr,title_fra,0,title_fra,1,1,0,0,0,count,100,,0,0,,1,str|-,0,0
5,name,travelq,Name,Nom,string,bi,,0,,1,1,0,0,0,count,100,,0,0,,0,str|-,0,0
6,purpose_en,travelq,Purpose of Travel (English),But du déplacement (anglais),search_text_en,en,purpose_eng,0,purpose_eng,1,1,0,0,0,count,100,,0,0,,1,str|-,0,0
7,purpose_fr,travelq,Purpose of Travel (French),But du déplacement (français),search_text_fr,fr,purpose_fra,0,purpose_fra,1,1,0,0,0,count,100,,0,0,,1,str|-,0,0
8,start_date,travelq,Travel Start Date,Date de début du voyage,pdate,bi,,0,"start_date_en,start_date_fr",1,1,0,0,0,count,100,,0,0,,1,date|0001-01-01T00:00:00,1,0
9,end_date,travelq,Travel End Date,Date de fin du voyage,pdate,bi,,0,"end_date_en,end_date_fr",1,1,0,0,0,count,100,,0,0,,0,date|0001-01-01T00:00:00,0,0
10,destination_en,travelq,Places visited (English),Endroits visités (anglais),search_text_en,en,destination_eng,0,destination_eng,1,1,0,0,0,count,100,,0,0,,0,str|-,0,0
11,destination_fr,travelq,Places visited (French),Endroits visités (français),search_text_fr,fr,destination_fra,0,destination_fra,1,1,0,0,0,count,100,,0,0,,0,str|-,0,0
12,airfare,travelq,Airfare,Tarif aérien,pfloat,bi,,0,"airfare_en,airfare_fr",1,1,0,1,0,count,100,,0,0,,0,float|0.0,0,0
13,other_transport,travelq,Other transportation,Autres moyens de transport,pfloat,bi,,0,"other_transport_en,other_transport_fr",1,1,0,1,0,count,100,,0,0,,0,float|0.0,0,0
14,lodging,travelq,Lodging,Hébergement,pfloat,bi,,0,"lodging_en,lodging_fr",1,1,0,1,0,count,100,,0,0,,0,float|0.0,0,0
15,meals,travelq,Meals and incidentals,Frais de repas et frais accessoires,pfloat,bi,,0,"meals_en,meals_fr",1,1,0,1,0,count,100,,0,0,,0,float|0.0,0,0
16,other_expenses,travelq,Other expenses,Autres dépenses,pfloat,bi,,0,"other_expenses_en,other_expenses_fr",1,1,0,1,0,count,100,,0,0,,0,float|0.0,0,0
17,total,travelq,Total Amount,Montant total,pfloat,bi,,0,"total_en,total_fr",1,1,0,1,0,count,100,,0,0,,1,float|0.0,0,0
18,additional_comments_en,travelq,Additional Comments English,Additional Comments English,search_text_en,en,additional_comments_eng,0,additional_comments_eng,1,1,0,0,0,count,100,,0,0,,0,str|-,0,0
19,additional_comments_fr,travelq,Additional Comments French,Additional Comments French,search_text_fr,fr,additional_comments_fra,0,additional_comments_fra,1,1,0,0,0,count,100,,0,0,,0,str|-,0,0
20,year,travelq,Year,Année,string,bi,,0,,1,1,0,0,1,index,100,,1,1,ALL,0,str|-,0,0
21,month,travelq,Month,mois,string,bi,,1,,1,1,0,0,0,count,100,,0,0,NTR,0,str|-,0,0
22,owner_org,travelq,Organization,Organisation,string,bi,,1,,1,1,0,0,1,index,100,,0,2,ALL,0,str|-,0,0
23,owner_org_en,travelq,Organization,Organisation,string,en,,0,,1,1,0,0,0,count,100,,0,0,,1,str|-,0,0
24,owner_org_fr,travelq,Organization,Organisation,string,fr,,0,,1,1,0,0,0,count,100,,0,0,,1,str|-,0,0
25,format,travelq,Record Format,Format d'enregistrement,string,bi,,1,,1,1,0,0,1,count,100,,0,0,,0,str|-,0,0
26,total_range,travelq,Total,Total,string,bi,,1,,1,1,0,0,1,index,100,,0,3,,0,str|-,0,0
